HIP|RAhms|DEdms|Vmag|RAICRS|DEICRS
 35699|07 21 56.90|+20 26 37.4| 5.09|110.48708081|+20.44371648
 35710|07 22 02.69|+36 45 38.3| 5.12|110.51120175|+36.76063782
 35712|07 22 03.48|+00 10 37.7| 5.99|110.51448965|+00.17712559
 35727|07 22 13.53|-19 00 59.7| 4.94|110.55637515|-19.01658444
 35749|07 22 25.40|-05 58 58.1| 5.83|110.60582057|-05.98280807
 35785|07 22 52.06|+55 16 53.3| 5.80|110.71692703|+55.28146955
 35795|07 23 00.70|-31 55 25.6| 5.40|110.75292901|-31.92379021
 35846|07 23 28.55|+25 03 02.2| 5.04|110.86897550|+25.05060041
 35848|07 23 28.97|-27 50 03.4| 5.37|110.87072892|-27.83428348
 35855|07 23 31.90|-32 12 07.5| 5.41|110.88291983|-32.20207858
 35904|07 24 05.71|-29 18 11.2| 2.45|111.02377104|-29.30311979
 35907|07 24 08.47|+40 40 20.8| 5.23|111.03529509|+40.67244066
 35941|07 24 33.44|+27 38 16.1| 5.77|111.13935024|+27.63781901
 35951|07 24 40.19|-16 12 05.1| 5.18|111.16745993|-16.20142374
 35957|07 24 43.87|-31 48 32.1| 5.35|111.18278416|-31.80892621
 35984|07 24 57.08|+51 53 14.4| 5.80|111.23782838|+51.88734396
 35987|07 24 58.19|+11 40 10.4| 5.37|111.24245464|+11.66955984
 35998|07 25 08.44|-13 45 07.1| 5.79|111.28515547|-13.75197556
 36024|07 25 25.27|-25 13 04.0| 5.79|111.35530599|-25.21776450
 36039|07 25 38.19|-79 05 39.1| 5.54|111.40911866|-79.09420265
 36041|07 25 38.90|+09 16 34.0| 4.99|111.41207798|+09.27611835
 36046|07 25 43.68|+27 47 53.8| 3.78|111.43198371|+27.79828561
 36055|07 25 51.20|-05 46 29.8| 5.98|111.46334907|-05.77495377
 36114|07 26 21.86|-51 01 06.6| 5.09|111.59106537|-51.01849597
 36143|07 26 42.47|-34 08 26.5| 5.90|111.67696453|-34.14070792
 36145|07 26 42.86|+49 12 41.9| 4.61|111.67858726|+49.21164489
 36156|07 26 56.33|+20 15 27.3| 5.94|111.73470421|+20.25758199
 36168|07 26 59.49|-23 05 09.7| 5.65|111.74786303|-23.08603328
 36186|07 27 07.99|-17 51 53.5| 5.60|111.78329832|-17.86486511
 36188|07 27 09.07|+08 17 21.9| 2.89|111.78780121|+08.28940893
 36236|07 27 42.94|-22 51 33.1| 5.98|111.92891065|-22.85919757
 36238|07 27 44.39|+21 26 44.0| 5.20|111.93497685|+21.44554856
 36251|07 27 51.66|-11 33 24.7| 5.79|111.96526084|-11.55686168
 36258|07 27 59.17|-29 09 21.2| 5.55|111.99653073|-29.15590180
 36265|07 28 02.08|+06 56 31.5| 5.22|112.00865288|+06.94207694
 36284|07 28 09.83|+08 55 31.8| 4.33|112.04095607|+08.92550376
 36345|07 28 51.16|-31 50 54.3| 5.95|112.21316505|-31.84841156
 36348|07 28 51.49|+48 11 02.5| 5.70|112.21452104|+48.18403758
 36362|07 29 04.92|-31 27 22.4| 5.78|112.27050532|-31.45622952
 36363|07 29 05.71|-38 48 43.6| 5.41|112.27379583|-38.81210490
