HIP|RAhms|DEdms|Vmag|RAICRS|DEICRS
    88|00 01 04.60|-48 48 35.5| 5.71|000.26915958|-48.80985919
   107|00 01 20.11|-50 20 14.6| 5.53|000.33380226|-50.33739907
   122|00 01 35.85|-77 03 55.1| 4.78|000.39937928|-77.06529438
   124|00 01 37.02|+61 13 22.1| 5.58|000.40424537|+61.22280406
   145|00 01 49.44|-03 01 38.9| 5.13|000.45598912|-03.02747891
   154|00 01 57.59|-06 00 50.3| 4.37|000.48996506|-06.01397169
   171|00 02 09.65|+27 05 04.2| 5.80|000.54018776|+27.08448905
   183|00 02 19.91|-29 43 13.6| 5.04|000.58297574|-29.72044805
   194|00 02 29.76|+08 29 08.1| 5.70|000.62398938|+08.48557854
   207|00 02 36.08|+66 05 56.3| 5.87|000.65034249|+66.09896341
   301|00 03 44.37|-17 20 09.5| 4.55|000.93488487|-17.33597002
   330|00 04 13.66|+62 17 15.6| 5.90|001.05693212|+62.28766460
   343|00 04 19.76|-16 31 44.0| 5.78|001.08233885|-16.52888969
   355|00 04 30.12|-10 30 34.2| 4.99|001.12550980|-10.50949443
   377|00 04 41.25|-71 26 12.7| 5.59|001.17188841|-71.43685835
   379|00 04 41.84|+67 09 59.0| 5.68|001.17432297|+67.16638761
   418|00 05 06.13|+61 18 50.3| 5.80|001.27555231|+61.31396468
   443|00 05 20.15|-05 42 28.2| 4.61|001.33394073|-05.70783255
   476|00 05 41.94|+13 23 46.6| 5.55|001.42473238|+13.39628227
   518|00 06 15.54|+58 26 12.1| 5.98|001.56474395|+58.43668966
   522|00 06 18.66|-49 04 30.3| 5.70|001.57776340|-49.07509405
   531|00 06 26.53|+64 11 46.2| 5.57|001.61052855|+64.19616859
   636|00 07 46.86|-22 30 30.5| 5.93|001.94523194|-22.50847542
   655|00 08 03.52|-33 31 45.6| 5.67|002.01465535|-33.52933371
   671|00 08 17.55|-08 49 26.5| 5.99|002.07313617|-08.82402541
   677|00 08 23.17|+29 05 27.0| 2.07|002.09653333|+29.09082805
   729|00 09 02.34|+18 12 43.3| 5.57|002.25974230|+18.21202529
   746|00 09 10.09|+59 09 00.8| 2.28|002.29204036|+59.15021814
   761|00 09 21.02|-27 59 16.5| 5.42|002.33758620|-27.98790390
   765|00 09 24.54|-45 44 49.2| 3.88|002.35224949|-45.74698836
   813|00 10 02.18|+11 08 44.9| 5.54|002.50910252|+11.14580908
   814|00 10 02.27|-82 13 26.4| 5.29|002.50945435|-82.22399743
   840|00 10 18.85|-05 14 54.7| 5.84|002.57853868|-05.24851713
   841|00 10 19.24|+46 04 20.2| 5.01|002.58017518|+46.07227117
   873|00 10 42.75|-12 34 47.3| 5.84|002.67810574|-12.57980381
   910|00 11 15.91|-15 28 02.4| 4.89|002.81628415|-15.46732287
   930|00 11 34.42|-27 47 59.2| 5.41|002.89340430|-27.79977820
   950|00 11 43.89|-35 08 00.2| 5.24|002.93286698|-35.13339606
   983|00 12 09.95|-17 56 17.6| 5.29|003.04145374|-17.93821766
  1067|00 13 14.15|+15 11 01.0| 2.83|003.30895828|+15.18361593
  1074|00 13 19.55|-84 59 38.5| 5.78|003.33145220|-84.99402068
  1086|00 13 30.94|+41 02 08.6| 5.71|003.37889713|+41.03572671
  1096|00 13 42.22|-26 01 19.8| 5.94|003.42591849|-26.02215399
  1158|00 14 27.59|-07 46 49.9| 5.13|003.61496786|-07.78053784
  1168|00 14 36.11|+20 12 24.1| 4.79|003.65045047|+20.20669720
  1170|00 14 38.43|-18 55 57.7| 4.44|003.66013628|-18.93268628
  1191|00 14 54.50|-09 34 10.4| 5.77|003.72708897|-09.56955053
  1288|00 16 08.79|-31 26 46.8| 5.66|004.03660680|-31.44632821
  1354|00 16 57.05|+61 31 59.5| 5.74|004.23771177|+61.53319397
  1366|00 17 05.54|+38 40 54.0| 4.61|004.27306518|+38.68167915
  1372|00 17 09.04|+47 56 50.7| 5.86|004.28766746|+47.94741495
  1473|00 18 19.71|+36 47 07.2| 4.51|004.58210555|+36.78532730
  1493|00 18 38.22|+31 31 02.0| 5.88|004.65924059|+31.51723388
  1562|00 19 25.68|-08 49 25.8| 3.56|004.85701265|-08.82382948
  1599|00 20 01.91|-64 52 39.4| 4.23|005.00797581|-64.87762320
  1630|00 20 24.39|+30 56 08.2| 5.89|005.10163324|+30.93561514
  1645|00 20 35.86|+08 11 24.9| 5.38|005.14943435|+08.19024803
  1647|00 20 39.04|-69 37 29.7| 5.50|005.16267858|-69.62491154
  1657|00 20 45.54|+32 54 40.4| 5.79|005.18974442|+32.91122853
  1686|00 21 07.23|+37 58 07.3| 5.16|005.28010785|+37.96869954
  1706|00 21 28.74|-77 25 36.7| 5.96|005.36976160|-77.42685699
  1708|00 21 31.18|-28 58 52.7| 5.18|005.37990144|-28.98129509
  1728|00 21 46.23|-20 03 28.8| 5.61|005.44264511|-20.05799253
  1921|00 24 15.64|+52 01 11.7| 5.58|006.06518443|+52.01992467
  1960|00 24 47.49|+61 49 51.8| 5.38|006.19786908|+61.83106347
  1982|00 25 06.39|+53 02 48.4| 5.72|006.27660700|+53.04678501
  2006|00 25 24.22|+01 56 23.0| 5.77|006.35090309|+01.93972374
  2021|00 25 39.20|-77 15 18.1| 2.82|006.41334183|-77.25503511
  2072|00 26 12.12|-43 40 47.7| 3.93|006.55048418|-43.67990933
  2081|00 26 16.87|-42 18 18.4| 2.40|006.57028075|-42.30512197
  2159|00 27 14.69|-25 32 49.7| 5.99|006.81119663|-25.54713325
  2210|00 27 55.71|-33 00 25.4| 4.86|006.98213606|-33.00704460
  2219|00 28 02.84|+17 53 35.1| 5.01|007.01185234|+17.89307501
  2225|00 28 13.59|+44 23 40.2| 5.18|007.05660466|+44.39448925
  2240|00 28 26.42|-39 54 53.6| 5.42|007.11007309|-39.91490183
  2353|00 30 02.35|-03 57 26.3| 5.72|007.50980355|-03.95729662
  2355|00 30 07.34|+29 45 06.1| 5.20|007.53056566|+29.75169567
  2377|00 30 19.91|+59 58 39.2| 5.94|007.58297373|+59.97756400
  2381|00 30 22.67|-23 47 15.8| 5.17|007.59446346|-23.78771429
  2383|00 30 25.97|-48 12 52.9| 5.67|007.60822774|-48.21469821
  2472|00 31 24.86|-48 48 12.8| 4.76|007.85356695|-48.80356171
  2475|00 31 25.61|+33 34 54.1| 5.88|007.85668759|+33.58168169
  2484|00 31 32.56|-62 57 29.1| 4.36|007.88566992|-62.95808549
  2487|00 31 33.36|-62 57 55.6| 4.53|007.88898014|-62.96544985
  2497|00 31 41.21|+52 50 22.4| 5.59|007.92171234|+52.83955844
  2505|00 31 46.32|+54 31 20.4| 4.74|007.94299136|+54.52232473
  2548|00 32 23.75|+06 57 19.6| 5.69|008.09897908|+06.95545461
  2568|00 32 35.40|+20 17 40.0| 5.38|008.14750345|+20.29443334
  2578|00 32 43.79|-63 01 53.0| 5.07|008.18247614|-63.03137868
  2599|00 32 59.99|+62 55 54.4| 4.17|008.24994391|+62.93178781
  2611|00 33 10.32|+54 53 42.3| 5.93|008.29301467|+54.89508062
  2661|00 33 41.06|-29 33 29.5| 5.55|008.42108802|-29.55820696
  2711|00 34 27.62|-52 22 23.5| 5.57|008.61506261|-52.37318294
  2762|00 35 14.64|-03 35 33.9| 5.20|008.81100390|-03.59275785
  2787|00 35 32.75|-00 30 19.7| 5.94|008.88645754|-00.50545908
  2802|00 35 41.13|-48 00 02.4| 5.51|008.92139531|-48.00066027
  2854|00 36 08.29|+54 10 06.4| 5.08|009.03453140|+54.16845384
  2876|00 36 27.34|+60 19 34.4| 5.78|009.11392475|+60.32621728
  2900|00 36 46.47|+44 29 18.6| 5.14|009.19362920|+44.48850971
  2903|00 36 47.31|+15 13 54.3| 5.89|009.19713232|+15.23175994
  2912|00 36 52.84|+33 43 09.7| 4.34|009.22016239|+33.71935227
  2920|00 36 58.27|+53 53 49.0| 3.69|009.24277921|+53.89693161
  2941|00 37 19.79|-24 46 02.0| 5.57|009.33244613|-24.76722545
  2942|00 37 21.23|+35 23 58.2| 5.45|009.33844167|+35.39951013
  3031|00 38 33.50|+29 18 44.5| 4.34|009.63958024|+29.31236900
  3083|00 39 09.89|+49 21 16.5| 5.45|009.79119583|+49.35459528
  3092|00 39 19.60|+30 51 40.4| 3.27|009.83165567|+30.86122579
  3093|00 39 22.09|+21 15 04.9| 5.88|009.84206107|+21.25137390
  3138|00 39 55.55|+21 26 18.8| 5.36|009.98147468|+21.43856440
  3170|00 40 24.66|-59 27 20.5| 5.89|010.10273354|-59.45568115
  3179|00 40 30.39|+56 32 14.7| 2.24|010.12661349|+56.53740928
  3193|00 40 42.38|-04 21 06.5| 5.90|010.17658814|-04.35180551
  3231|00 41 07.20|+39 27 31.2| 5.30|010.27998074|+39.45867141
  3245|00 41 19.58|-46 05 06.0| 4.59|010.33156671|-46.08500934
  3277|00 41 46.30|-56 30 05.2| 5.72|010.44292464|-56.50145475
  3299|00 42 03.44|+66 08 51.4| 5.83|010.51431560|+66.14761311
  3300|00 42 03.88|+50 30 45.1| 4.80|010.51618425|+50.51254151
  3330|00 42 28.30|-65 28 05.3| 5.38|010.61790472|-65.46813002
  3352|00 42 41.64|-60 15 45.7| 5.99|010.67349903|-60.26268184
  3405|00 43 21.24|-57 27 47.2| 4.36|010.83851683|-57.46309763
  3414|00 43 28.09|+47 01 28.7| 4.95|010.86704470|+47.02463657
  3419|00 43 35.23|-17 59 12.1| 2.04|010.89678452|-17.98668410
  3455|00 44 11.41|-10 36 33.4| 4.77|011.04752272|-10.60927365
  3456|00 44 11.92|-38 25 19.1| 5.90|011.04964742|-38.42197898
  3478|00 44 26.23|+47 51 50.3| 5.66|011.10927611|+47.86396300
  3504|00 44 43.50|+48 17 03.8| 4.48|011.18125882|+48.28438262
  3505|00 44 44.44|-22 00 22.8| 5.22|011.18515547|-22.00633247
  3521|00 44 57.12|-42 40 34.8| 5.94|011.23801546|-42.67632489
  3544|00 45 17.20|+55 13 17.1| 5.41|011.32168124|+55.22140870
  3572|00 45 39.11|+74 59 17.3| 5.64|011.41296370|+74.98812620
  3583|00 45 45.43|-47 33 07.8| 5.80|011.43930832|-47.55217573
  3607|00 46 11.63|-22 31 19.4| 5.49|011.54845521|-22.52206718
  3632|00 46 32.98|+15 28 32.2| 5.36|011.63740001|+15.47561194
  3675|00 47 01.43|+11 58 26.2| 5.51|011.75594336|+11.97393464
  3693|00 47 20.39|+24 16 02.6| 4.08|011.83495908|+24.26737703
  3697|00 47 23.62|+06 44 27.5| 5.98|011.84843074|+06.74098135
  3717|00 47 43.20|-18 03 41.1| 5.70|011.93000731|-18.06142264
  3721|00 47 46.02|+74 50 51.3| 5.42|011.94174879|+74.84758739
  3741|00 48 01.05|-21 43 20.9| 5.57|012.00437854|-21.72247464
  3750|00 48 08.88|+72 40 28.0| 5.86|012.03698124|+72.67445774
  3760|00 48 17.34|+07 17 59.7| 5.92|012.07226858|+07.29991977
  3765|00 48 22.53|+05 17 00.2| 5.74|012.09388786|+05.28338873
  3781|00 48 35.12|-74 55 24.1| 5.09|012.14632729|-74.92335356
  3786|00 48 40.90|+07 35 06.7| 4.44|012.17039736|+07.58520186
  3801|00 48 49.99|+50 58 05.5| 4.90|012.20830552|+50.96819154
  3810|00 48 58.71|+16 56 28.1| 5.07|012.24462380|+16.94113370
  3821|00 49 05.10|+57 48 59.6| 3.46|012.27125262|+57.81654770
  3834|00 49 13.90|-24 08 11.5| 5.90|012.30791020|-24.13652681
  3849|00 49 25.55|-13 33 39.7| 5.59|012.35647376|-13.56101709
  3881|00 49 48.83|+41 04 44.2| 4.53|012.45345723|+41.07895474
  3885|00 49 53.11|+27 42 37.1| 5.55|012.47128657|+27.71031105
  3909|00 50 07.72|-10 38 37.6| 5.17|012.53218487|-10.64377045
  3949|00 50 41.13|-50 59 12.9| 5.24|012.67136689|-50.98692422
  3951|00 50 43.57|+64 14 51.3| 5.35|012.68155194|+64.24758084
  4104|00 52 40.60|-24 00 21.3| 5.47|013.16917061|-24.00592567
  4147|00 53 00.49|-01 08 39.2| 4.78|013.25204382|-01.14422060
  4151|00 53 04.28|+61 07 24.8| 4.80|013.26783051|+61.12355735
  4200|00 53 37.78|-62 52 16.9| 5.73|013.40741156|-62.87135327
  4267|00 54 35.22|+19 11 18.4| 5.80|013.64674999|+19.18843611
  4283|00 54 52.76|+83 42 26.9| 5.59|013.71984836|+83.70746159
  4288|00 54 58.02|+23 37 42.4| 5.46|013.74174956|+23.62844595
  4292|00 55 00.19|+58 58 22.1| 4.83|013.75080422|+58.97279657
  4293|00 55 00.30|-69 31 37.1| 5.45|013.75124739|-69.52697888
  4346|00 55 42.40|-07 20 49.3| 5.88|013.92668443|-07.34703997
  4371|00 56 01.51|-11 15 59.4| 5.35|014.00627513|-11.26650685
  4422|00 56 40.01|+59 10 52.2| 4.62|014.16671042|+59.18116582
  4427|00 56 42.50|+60 43 00.3| 2.15|014.17708808|+60.71674966
  4436|00 56 45.10|+38 29 57.3| 3.86|014.18790699|+38.49925513
  4440|00 56 46.94|+60 21 46.3| 5.56|014.19558745|+60.36284769
  4463|00 57 12.43|+23 25 03.9| 4.40|014.30178237|+23.41775997
  4510|00 57 50.15|+28 59 32.0| 5.44|014.45895150|+28.99223560
  4552|00 58 14.19|+33 57 03.8| 5.99|014.55914315|+33.95105921
  4572|00 58 31.00|+66 21 06.6| 5.97|014.62916229|+66.35182541
  4577|00 58 36.35|-29 21 26.9| 4.30|014.65144118|-29.35746436
  4587|00 58 43.89|-11 22 47.8| 5.62|014.68286462|-11.37993895
  4675|01 00 03.55|+44 42 47.9| 5.69|015.01477994|+44.71330426
  4770|01 01 18.23|-38 54 59.9| 5.59|015.32593934|-38.91664868
  4852|01 02 26.38|-31 33 07.4| 5.50|015.60990729|-31.55204219
  4889|01 02 49.09|+31 48 15.6| 5.50|015.70452742|+31.80433674
  4890|01 02 49.19|-46 23 50.4| 5.39|015.70496560|-46.39733801
  4903|01 02 54.28|+41 20 42.7| 5.95|015.72614941|+41.34519861
  4906|01 02 56.66|+07 53 24.3| 4.27|015.73606615|+07.89007256
  4914|01 03 02.60|-04 50 10.9| 5.40|015.76085267|-04.83635047
  4962|01 03 37.01|+61 04 29.4| 5.92|015.90419820|+61.07482982
  4998|01 04 02.39|+52 30 08.3| 5.99|016.00995036|+52.50230919
  5021|01 04 19.55|+61 34 48.9| 5.83|016.08145357|+61.58024409
  5081|01 05 05.35|+14 56 45.6| 5.64|016.27229777|+14.94600386
  5131|01 05 40.93|+21 28 23.6| 5.33|016.42053152|+21.47321620
  5132|01 05 41.68|+21 27 55.7| 5.55|016.42365838|+21.46547318
  5165|01 06 05.11|-46 43 06.6| 3.32|016.52127713|-46.71849042
  5164|01 06 05.13|-09 50 21.7| 5.58|016.52137513|-09.83936845
  5268|01 07 18.57|-61 46 30.9| 5.36|016.82738598|-61.77526197
  5296|01 07 46.12|-09 47 08.1| 5.71|016.94216802|-09.78559168
  5300|01 07 47.83|-41 29 13.0| 5.21|016.94927201|-41.48693516
  5310|01 07 57.11|+20 44 21.6| 5.56|016.98795829|+20.73932115
  5317|01 08 00.72|+43 56 32.1| 5.04|017.00299391|+43.94224107
  5336|01 08 12.92|+54 55 27.2| 5.17|017.05383776|+54.92422766
  5346|01 08 22.34|+05 39 00.8| 5.51|017.09309979|+05.65022130
  5348|01 08 23.06|-55 14 45.0| 3.94|017.09608370|-55.24583235
  5361|01 08 33.45|+58 15 48.5| 5.77|017.13936547|+58.26347937
  5364|01 08 35.26|-10 10 54.9| 3.46|017.14693197|-10.18192800
  5372|01 08 44.16|+86 15 25.6| 4.24|017.18399735|+86.25711803
  5434|01 09 30.12|+47 14 30.6| 4.26|017.37550908|+47.24182410
  5447|01 09 43.80|+35 37 15.0| 2.07|017.43248991|+35.62083048
  5454|01 09 49.20|+19 39 30.2| 5.57|017.45502008|+19.65838540
  5493|01 10 18.85|+42 04 53.7| 5.67|017.57852966|+42.08157668
  5494|01 10 19.45|+25 27 28.9| 5.81|017.58103932|+25.45803989
  5510|01 10 33.56|+02 26 44.6| 5.97|017.63982219|+02.44570842
  5518|01 10 39.27|+68 46 43.3| 5.32|017.66360631|+68.77868759
  5542|01 11 05.93|+55 08 59.8| 4.34|017.77471116|+55.14994765
  5544|01 11 06.77|+31 25 29.2| 5.15|017.77822190|+31.42476555
  5550|01 11 10.29|+37 43 26.9| 5.80|017.79287081|+37.72413814
  5566|01 11 25.52|+64 12 09.8| 5.56|017.85631897|+64.20272388
  5571|01 11 27.19|+21 02 04.8| 4.66|017.86330901|+21.03467568
  5586|01 11 39.59|+30 05 23.0| 4.51|017.91494471|+30.08972962
  5589|01 11 41.37|+65 01 08.0| 5.57|017.92237013|+65.01888517
  5594|01 11 43.54|-02 15 03.7| 5.93|017.93142731|-02.25102487
  5626|01 12 16.51|+79 40 26.3| 5.60|018.06878934|+79.67397492
  5661|01 12 45.37|-37 51 23.1| 5.95|018.18902960|-37.85640391
  5737|01 13 43.80|+07 34 31.8| 5.21|018.43250986|+07.57548895
  5742|01 13 44.94|+24 35 01.6| 4.67|018.43723014|+24.58376482
  5778|01 14 07.65|+16 08 00.8| 5.97|018.53186747|+16.13354221
  5799|01 14 23.97|-07 55 24.6| 5.14|018.59986241|-07.92350040
  5833|01 14 49.18|-00 58 27.5| 5.70|018.70491873|-00.97429411
  5862|01 15 10.57|-45 31 55.5| 4.97|018.79403213|-45.53209717
  5896|01 15 45.50|-68 52 34.5| 4.25|018.93956391|-68.87623708
  5926|01 16 11.90|+71 44 37.8| 5.87|019.04959061|+71.74384538
  5951|01 16 36.35|-02 30 00.8| 5.42|019.15144476|-02.50021280
  6061|01 17 47.98|+03 36 52.3| 5.13|019.44993370|+03.61452038
  6193|01 19 27.98|+27 15 50.7| 4.74|019.86657455|+27.26408682
  6226|01 19 48.29|-00 30 32.4| 5.87|019.95121720|-00.50899490
  6242|01 20 04.92|+58 13 53.8| 4.95|020.02049027|+58.23161610
  6315|01 21 07.35|+28 44 18.2| 5.23|020.28064145|+28.73838983
  6411|01 22 20.39|+45 31 43.5| 4.87|020.58497087|+45.52875660
  6492|01 23 24.95|+20 28 08.4| 5.97|020.85396862|+20.46898990
  6502|01 23 30.97|-30 56 43.8| 5.84|020.87903356|-30.94550599
  6514|01 23 40.56|+37 42 54.0| 5.60|020.91898254|+37.71499034
  6537|01 24 01.45|-08 10 57.9| 3.60|021.00604671|-08.18275372
  6564|01 24 20.48|-06 54 52.8| 5.92|021.08535375|-06.91466853
  6592|01 24 40.77|-41 29 32.9| 5.42|021.16988858|-41.49245885
  6631|01 25 05.28|-64 22 10.0| 5.92|021.27198122|-64.36943630
  6670|01 25 37.21|-14 35 55.5| 4.90|021.40503869|-14.59875437
  6686|01 25 48.60|+60 14 07.5| 2.66|021.45251267|+60.23540347
  6692|01 25 55.90|+68 07 47.8| 4.72|021.48293404|+68.12994739
  6706|01 26 15.28|+19 10 20.4| 5.35|021.56366085|+19.17232096
  6711|01 26 18.60|+43 27 28.4| 5.98|021.57749566|+43.45788606
  6732|01 26 41.65|+19 14 26.0| 5.50|021.67352916|+19.24056476
  6748|01 26 51.56|-13 03 23.5| 5.51|021.71481835|-13.05653391
  6813|01 27 39.09|+45 24 25.0| 4.83|021.91285470|+45.40695287
  6867|01 28 21.94|-43 19 03.8| 3.41|022.09142360|-43.31772906
  6960|01 29 36.10|-21 37 45.6| 5.11|022.40041765|-21.62934677
  6999|01 30 06.10|+47 00 26.6| 5.27|022.52542506|+47.00737711
  7007|01 30 10.94|+06 08 38.2| 4.84|022.54559597|+06.14393314
  7016|01 30 22.88|-26 12 28.3| 5.92|022.59531980|-26.20785462
  7078|01 31 13.52|+70 15 53.2| 5.82|022.80632718|+70.26478860
  7083|01 31 14.98|-49 04 23.1| 3.93|022.81242306|-49.07307701
  7097|01 31 28.99|+15 20 45.0| 3.62|022.87080776|+15.34583101
  7118|01 31 43.25|-30 16 58.5| 5.79|022.93021487|-30.28292502
  7213|01 32 56.05|-36 51 54.7| 5.49|023.23355059|-36.86518161
  7251|01 33 25.71|+58 19 38.4| 5.69|023.35711597|+58.32734523
  7276|01 33 42.73|-07 01 30.5| 5.75|023.42805448|-07.02514279
  7294|01 33 55.93|+59 13 55.5| 4.68|023.48302496|+59.23209665
  7321|01 34 16.60|+37 14 13.9| 5.90|023.56915511|+37.23719753
  7345|01 34 37.72|-15 40 34.9| 5.62|023.65717247|-15.67635270
  7359|01 34 49.05|+18 27 38.4| 5.90|023.70436400|+18.46067238
  7447|01 35 54.67|+17 26 01.6| 5.95|023.97777176|+17.43378965
  7450|01 35 58.96|-15 24 00.8| 5.41|023.99565496|-15.40021584
  7463|01 36 08.43|-29 54 26.8| 5.69|024.03512124|-29.90743360
  7513|01 36 47.98|+41 24 23.0| 4.10|024.19990413|+41.40638491
  7535|01 37 05.96|+12 08 29.4| 5.54|024.27483902|+12.14151058
  7568|01 37 27.78|-84 46 10.7| 5.66|024.36574940|-84.76965017
  7588|01 37 42.75|-57 14 12.0| 0.45|024.42813204|-57.23666007
  7601|01 37 54.98|-82 58 31.0| 5.88|024.47908355|-82.97528876
  7607|01 37 59.50|+48 37 42.6| 3.59|024.49792651|+48.62848641
  7617|01 38 07.56|+57 58 39.5| 5.55|024.53151544|+57.97764488
  7643|01 38 27.49|-36 31 40.6| 5.94|024.61455891|-36.52795330
  7650|01 38 30.94|+73 02 24.3| 5.28|024.62892127|+73.04007203
  7679|01 38 51.71|-21 16 31.7| 5.58|024.71544923|-21.27547447
  7719|01 39 21.02|+44 23 10.1| 5.01|024.83757938|+44.38612827
  7740|01 39 40.77|+16 24 21.2| 5.98|024.91986640|+16.40588595
  7751|01 39 47.24|-56 11 47.2| 5.76|024.94684603|-56.19644067
  7818|01 40 34.80|+40 34 37.6| 4.96|025.14501739|+40.57710624
  7825|01 40 39.56|+43 17 51.9| 5.63|025.16483499|+43.29776385
  7884|01 41 25.91|+05 29 15.4| 4.45|025.35794814|+05.48760445
  7906|01 41 39.24|+30 02 49.7| 5.97|025.41350900|+30.04713542
  7916|01 41 44.80|-11 19 25.2| 5.75|025.43665870|-11.32366816
  7918|01 41 46.52|+42 36 49.7| 4.96|025.44381547|+42.61380692
  7921|01 41 47.95|-60 47 21.3| 5.70|025.44980076|-60.78924102
  7941|01 42 03.02|-36 49 56.2| 5.70|025.51256331|-36.83226421
  7943|01 42 03.45|+35 14 44.8| 5.63|025.51439571|+35.24576705
  7955|01 42 08.65|-32 19 36.7| 5.25|025.53602338|-32.32685759
  7965|01 42 20.44|+68 02 35.0| 5.57|025.58518510|+68.04304624
  7978|01 42 29.15|-53 44 26.1| 5.52|025.62146258|-53.74057470
  7981|01 42 29.95|+20 16 12.5| 5.24|025.62479083|+20.27015091
  7999|01 42 43.52|-03 41 24.4| 4.98|025.68132047|-03.69011692
  8016|01 42 55.73|+70 37 21.2| 5.18|025.73220374|+70.62255881
  8046|01 43 19.74|+60 33 04.9| 5.78|025.83223958|+60.55137091
  8068|01 43 39.62|+50 41 19.6| 4.01|025.91506370|+50.68876550
  8102|01 44 05.13|-15 56 22.4| 3.49|026.02136441|-15.93955597
  8198|01 45 23.59|+09 09 27.5| 4.26|026.34828629|+09.15764102
  8209|01 45 38.65|-25 03 08.8| 5.29|026.41106016|-25.05243403
  8230|01 45 59.27|-05 43 59.6| 5.37|026.49694074|-05.73322696
  8240|01 46 05.93|-50 48 58.4| 5.49|026.52469172|-50.81621317
  8241|01 46 06.14|-53 31 19.9| 5.04|026.52557865|-53.52218065
  8362|01 47 44.06|+63 51 11.2| 5.63|026.93360110|+63.85310111
  8387|01 48 10.90|+16 57 20.3| 5.86|027.04542790|+16.95563093
  8404|01 48 26.02|+03 41 07.5| 5.91|027.10843265|+03.68540364
  8423|01 48 38.84|+37 57 10.6| 5.94|027.16184118|+37.95293583
  8433|01 48 41.68|+32 41 22.2| 5.78|027.17366149|+32.68948705
  8497|01 49 35.19|-10 41 10.3| 4.66|027.39662961|-10.68618074
  8544|01 50 08.58|+22 16 31.3| 5.83|027.53575113|+22.27535660
  8588|01 50 52.01|+11 02 36.4| 5.92|027.71672491|+11.04344590
  8593|01 50 54.48|-50 12 22.1| 5.94|027.72699465|-50.20612713
  8598|01 50 57.09|+51 56 01.3| 5.96|027.73786884|+51.93369809
  8645|01 51 27.61|-10 20 05.8| 3.74|027.86504416|-10.33494526
  8704|01 51 59.31|+55 08 50.7| 5.53|027.99711412|+55.14740479
  8714|01 52 09.35|+50 47 34.3| 5.70|028.03897527|+50.79286359
  8778|01 52 52.09|-16 55 44.8| 5.78|028.21703176|-16.92912351
  8796|01 53 04.90|+29 34 45.8| 3.42|028.27041595|+29.57939727
  8814|01 53 17.35|+40 43 47.3| 5.42|028.32229965|+40.72979974
  8832|01 53 31.77|+19 17 38.7| 3.88|028.38235506|+19.29409264
  8833|01 53 33.34|+03 11 14.9| 4.61|028.38890233|+03.18747844
  8837|01 53 38.82|-46 18 08.8| 4.39|028.41174872|-46.30244631
  8882|01 54 22.06|-42 29 48.8| 5.12|028.59191795|-42.49688104
  8886|01 54 23.68|+63 40 12.5| 3.35|028.59868107|+63.67014686
  8903|01 54 38.35|+20 48 29.9| 2.64|028.65978771|+20.80829949
  8928|01 54 56.01|-67 38 50.9| 4.68|028.73339519|-67.64748114
  8993|01 55 51.03|+23 34 38.4| 5.76|028.96263355|+23.57734317
  9001|01 55 54.47|+37 16 40.1| 5.89|028.97697359|+37.27780093
  9007|01 55 56.83|-51 36 34.5| 3.69|028.98680207|-51.60958673
  9009|01 56 00.00|+68 41 07.0| 4.97|029.00001575|+68.68526545
  9021|01 56 09.23|+37 15 06.5| 5.69|029.03845779|+37.25180400
  9061|01 56 40.16|-22 31 36.2| 4.92|029.16732782|-22.52671153
  9095|01 57 09.99|-47 23 07.1| 4.82|029.29163705|-47.38529869
  9110|01 57 21.03|+17 49 03.3| 5.09|029.33763922|+17.81758940
  9132|01 57 43.74|+27 48 16.3| 5.84|029.43223051|+27.80452380
  9153|01 57 55.78|+23 35 45.9| 4.79|029.48239763|+23.59609610
  9222|01 58 33.50|+49 12 15.3| 5.70|029.63958177|+49.20425200
  9236|01 58 45.87|-61 34 11.7| 2.86|029.69113269|-61.56992444
  9307|01 59 35.60|+21 03 31.0| 5.89|029.89831329|+21.05860461
  9312|01 59 37.99|+64 37 17.9| 5.29|029.90828959|+64.62163894
  9313|01 59 38.85|-42 01 49.0| 5.57|029.91189289|-42.03028941
  9326|01 59 46.19|-20 49 28.5| 5.43|029.94245126|-20.82457549
  9347|02 00 00.22|-21 04 40.0| 3.99|030.00093670|-21.07777193
  9353|02 00 09.02|+03 05 51.5| 5.89|030.03760293|+03.09763527
  9372|02 00 26.77|-08 31 25.8| 5.43|030.11154942|-08.52382616
  9440|02 01 14.80|-30 00 05.6| 5.34|030.31165140|-30.00156583
  9459|02 01 42.40|-44 42 48.2| 5.15|030.42667654|-44.71339037
  9480|02 01 57.55|+70 54 25.4| 4.49|030.48979079|+70.90704605
  9487|02 02 02.80|+02 45 49.5| 3.82|030.51166929|+02.76376048
  9505|02 02 18.07|+54 29 15.2| 4.99|030.57530917|+54.48754946
  9533|02 02 35.08|+13 28 36.2| 5.97|030.64615770|+13.47672808
  9570|02 02 57.97|+33 17 02.9| 5.50|030.74152860|+33.28415151
  9572|02 02 58.55|-15 18 21.4| 5.87|030.74397324|-15.30594985
  9573|02 03 00.19|+64 23 24.1| 5.59|030.75078582|+64.39002289
  9589|02 03 11.61|+00 07 42.4| 5.42|030.79835710|+00.12845397
  9598|02 03 26.19|+72 25 16.5| 3.95|030.85912643|+72.42123962
  9621|02 03 39.26|+25 56 07.6| 5.64|030.91359346|+25.93544879
  9622|02 03 40.48|-04 06 12.1| 5.61|030.91868509|-04.10336397
